,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,City,AQI_Bucket,day
35,118.49,288.354,4.109999999999999,28.94,31.83,7.853999999999999,4.11,54.2,53.61,7.9,21.32,330.0,Ahmedabad,Very Poor,weekday
36,106.01,199.42399999999998,4.280000000000001,27.31,30.54,6.977999999999998,4.28,70.29,40.91,9.45,15.54,252.0,Ahmedabad,Poor,weekday
37,97.34,201.35199999999998,3.67,21.58,24.62,6.4659999999999975,3.67,64.39,45.69,5.61,15.02,244.0,Ahmedabad,Poor,weekday
38,83.92,130.884,6.42,25.03,30.8,6.9879999999999995,6.42,67.53,34.94,8.24,21.47,234.0,Ahmedabad,Poor,Weekend
39,49.51,194.36200000000002,3.0999999999999996,14.16,16.15,6.853999999999999,3.1,48.33,37.95,4.34,11.34,219.0,Ahmedabad,Poor,Weekend
40,30.760000000000005,74.38,2.7200000000000024,14.14,16.98,12.28,2.72,43.62,54.78,3.58,9.38,118.0,Ahmedabad,Moderate,weekday
41,50.29,117.07,5.340000000000002,29.84,33.28,5.119999999999997,5.34,59.230000000000004,45.44,5.45,15.12,231.0,Ahmedabad,Poor,weekday
42,57.69,91.14,25.36,29.48,54.79,7.309999999999999,25.36,58.33,52.87,9.55,32.11,286.0,Ahmedabad,Poor,weekday
43,105.06,160.954,46.24,37.05,82.23,6.814,46.24,53.620000000000005,45.65,20.89,75.36,883.0,Ahmedabad,Severe,weekday
44,94.1,145.296,22.14,36.53,57.49,6.681999999999999,22.14,61.31,46.77,17.5,52.01,720.0,Ahmedabad,Severe,weekday
45,111.89,143.488,22.25,43.29,64.53,6.611999999999998,22.25,66.44,50.57,18.03,56.86,570.0,Ahmedabad,Severe,Weekend
46,108.59,132.208,25.38,39.34,63.00999999999999,6.681999999999999,25.38,75.8,46.68,15.78,48.41,589.0,Ahmedabad,Severe,Weekend
47,130.76,134.5,45.61,41.03,85.76,6.707999999999998,45.61,65.77,41.58,24.12,85.31,818.0,Ahmedabad,Severe,weekday
48,143.55,130.6,27.3,31.15,57.16,6.690000000000001,27.3,50.980000000000004,35.38,18.61,72.77999999999999,737.0,Ahmedabad,Severe,weekday
49,165.07,384.428,23.83,34.48,57.71,6.681999999999999,23.83,64.32,43.79,29.14,64.01,584.9999999999999,Ahmedabad,Severe,weekday
50,166.85,386.642,17.93,43.3,60.07,6.681999999999999,17.929999999999996,79.71,53.44,24.09,67.38,616.0,Ahmedabad,Severe,weekday
51,147.38,398.38999999999993,6.4,35.82,40.22,5.894000000000002,6.4,46.89,17.94,14.23,41.88,437.0,Ahmedabad,Severe,weekday
52,158.25,308.65599999999995,5.859999999999999,27.89,32.65,6.689999999999998,5.86,142.36,38.54,13.67,21.24,321.0,Ahmedabad,Very Poor,Weekend
53,237.76,412.272,4.99,21.8,25.37,6.644000000000002,4.99,96.28,39.77,8.68,14.95,372.0,Ahmedabad,Very Poor,Weekend
54,133.37,337.946,3.879999999999999,17.99,21.02,6.503999999999998,3.88,57.34,39.66,5.76,11.74,339.0,Ahmedabad,Very Poor,weekday
55,133.3,304.71,6.52,20.0,26.18,6.423999999999996,6.52,51.58,59.03,9.94,21.129999999999995,339.0,Ahmedabad,Very Poor,weekday
56,96.04,227.96000000000004,3.8000000000000007,20.07,23.46,6.413999999999998,3.8,62.42,46.61,7.540000000000001,13.44,324.0,Ahmedabad,Very Poor,weekday
57,77.69,158.15800000000002,5.24,18.87,23.06,8.192000000000004,5.24,100.48,27.14,9.49,11.77,222.0,Ahmedabad,Poor,weekday
58,53.07,166.13600000000002,4.17,13.82,17.45,5.6960000000000015,4.17,40.36,21.76,4.47,6.94,169.0,Ahmedabad,Moderate,weekday
59,63.11,181.256,5.630000000000001,15.5,18.49,5.829999999999998,5.63,38.21,4.720000000000002,5.2,8.17,220.0,Ahmedabad,Poor,Weekend
60,120.96,247.36399999999998,4.23,20.86,25.02,3.5799999999999983,4.23,35.54,35.66,6.05,15.85,303.0,Ahmedabad,Very Poor,weekday
61,138.63,279.726,5.650000000000002,25.47,30.67,6.349999999999998,5.65,87.43,29.77,11.25,24.67,314.0,Ahmedabad,Very Poor,weekday
62,144.36,287.834,15.82,30.69,46.1,6.419999999999998,15.82,66.39,27.34,17.22,49.56,378.0,Ahmedabad,Very Poor,weekday
63,85.03,191.06799999999998,3.3000000000000007,26.7,27.41,6.59,3.3,59.16,35.89,7.58,29.190000000000005,415.0,Ahmedabad,Severe,weekday
64,61.06,98.434,3.5199999999999996,14.030000000000001,17.59,20.144000000000002,3.52,8.08,19.54,0.0,0.0,126.0,Ahmedabad,Moderate,Weekend
65,39.42,102.468,5.280000000000001,19.56,24.66,13.18,5.28,17.66,31.3,0.0,0.0,175.0,Ahmedabad,Moderate,Weekend
66,111.86,195.402,3.889999999999999,22.51,25.17,40.821999999999996,3.89,15.84,31.23,0.0,0.0,226.0,Ahmedabad,Poor,weekday
67,58.37,138.336,5.74,21.71,27.69,16.496,5.74,25.9,43.92,2.15,10.46,244.0,Ahmedabad,Poor,weekday
68,95.37,199.524,18.01,26.23,44.34,29.69,18.01,13.59,41.64,1.21,3.2799999999999994,315.0,Ahmedabad,Very Poor,weekday
69,141.3,144.832,30.8,36.88,66.53,18.59,30.8,41.06,37.66,0.6600000000000001,0.009999999999999787,678.0,Ahmedabad,Severe,weekday
70,106.68,365.11600000000004,19.91,46.38,54.77,23.634,19.91,31.56,48.49,1.67,0.0,774.0,Ahmedabad,Severe,weekday
71,109.48,194.8,4.300000000000001,20.27,22.86,4.667999999999996,4.3,46.60000000000001,31.34,0.04999999999999982,0.0,285.0,Ahmedabad,Poor,Weekend
72,126.04,273.71,6.99,20.18,26.78,6.411999999999999,6.99,79.56,28.71,0.20000000000000018,0.0,321.0,Ahmedabad,Very Poor,Weekend
73,71.22,175.43,16.73,21.32,37.58,6.518000000000004,16.73,50.09,28.39,1.38,23.54,358.0,Ahmedabad,Very Poor,weekday
74,97.87,154.666,6.300000000000001,17.96,23.45,32.478,6.3,13.85,34.16,0.20999999999999996,4.91,357.0,Ahmedabad,Very Poor,weekday
75,63.38,177.998,3.4399999999999977,13.28,15.439999999999998,10.860000000000001,3.44,24.79,43.62,0.0,0.0,189.0,Ahmedabad,Moderate,weekday
76,80.9,152.838,5.700000000000001,18.62,24.23,7.242000000000001,5.7,65.44,22.800000000000004,0.04999999999999982,0.08999999999999986,214.0,Ahmedabad,Poor,weekday
77,103.29,186.54199999999997,4.550000000000001,19.82,23.69,6.977999999999998,4.55,85.42,22.18,0.06000000000000005,1.17,253.0,Ahmedabad,Poor,Weekend
78,107.5,260.37399999999997,5.289999999999999,15.56,19.73,6.302,5.29,74.37,10.119999999999997,0.08999999999999986,0.16000000000000014,239.0,Ahmedabad,Poor,Weekend
79,138.42,273.71,5.050000000000001,16.7,21.56,6.471999999999998,5.05,77.74,27.18,0.009999999999999787,0.8800000000000008,300.0,Ahmedabad,Poor,weekday
80,129.04,345.19,5.690000000000001,14.86,19.66,6.399999999999999,5.69,78.27,18.67,0.0,0.0,317.0,Ahmedabad,Very Poor,weekday
81,96.65,266.65,4.67,15.899999999999999,20.53,5.753999999999998,4.67,39.41,11.829999999999998,0.009999999999999787,0.0,240.0,Ahmedabad,Poor,weekday
82,126.77,250.836,15.69,23.93,39.73,6.3260000000000005,15.69,93.18,36.71,0.2200000000000002,0.03999999999999915,344.0,Ahmedabad,Very Poor,Weekend
83,106.15,293.284,13.12,23.02,35.05,6.527999999999999,13.12,65.95,81.6,0.2999999999999998,0.019999999999999574,503.0,Ahmedabad,Severe,Weekend
84,86.31,136.828,2.6899999999999995,10.5,10.899999999999999,9.211999999999996,2.69,50.13000000000001,90.54,0.4700000000000002,0.15000000000000036,308.0,Ahmedabad,Very Poor,weekday
85,83.99,151.878,2.7300000000000004,0.0799999999999983,2.75,9.132000000000003,2.73,34.06,69.57,0.2799999999999998,0.05000000000000071,227.0,Ahmedabad,Poor,weekday
86,65.11,122.384,3.1400000000000006,4.580000000000002,6.75,4.846,3.14,22.27,32.26,0.16999999999999993,0.03999999999999915,120.0,Ahmedabad,Moderate,weekday
87,51.03,135.096,6.24,20.47,26.2,17.718000000000004,6.24,15.5,31.44,0.0,0.0,158.0,Ahmedabad,Moderate,weekday
88,38.73,106.66,8.0,19.28,26.61,25.276,8.0,20.13,25.7,0.0,0.0,177.0,Ahmedabad,Moderate,weekday
89,61.12,120.304,9.94,17.82,27.18,6.314000000000004,9.94,39.69,25.9,0.0,0.0,201.0,Ahmedabad,Poor,Weekend
90,58.44,160.414,10.68,17.24,27.38,6.431999999999999,10.68,54.69,18.89,0.0,0.0,211.0,Ahmedabad,Poor,Weekend
91,61.49,128.22,11.44,16.69,27.61,6.353999999999999,11.44,42.66,18.2,0.009999999999999787,0.0,221.0,Ahmedabad,Poor,weekday
92,65.39,177.752,12.3,16.08,27.86,6.399999999999999,12.3,27.96,22.35,0.0,0.0,233.0,Ahmedabad,Poor,weekday
93,100.92,156.43200000000002,20.42,18.9,37.83,25.19,20.42,31.9,22.84,4.9,19.26,481.0,Ahmedabad,Severe,weekday
94,97.48,187.606,5.309999999999999,30.02,33.62,11.844000000000001,5.31,36.05,16.26,10.6,34.91,352.0,Ahmedabad,Very Poor,weekday
95,129.27,285.344,14.28,28.33,41.92,6.431999999999999,14.28,70.13,25.4,16.9,44.19,327.0,Ahmedabad,Very Poor,weekday
96,129.58,194.30200000000002,21.23,28.79,45.4,6.5539999999999985,21.23,17.66,34.42,20.53,85.73,577.0,Ahmedabad,Severe,Weekend
97,100.57,244.724,7.559999999999999,18.79,24.33,3.6999999999999957,7.5600000000000005,38.76,38.83,4.92,17.94,411.0,Ahmedabad,Severe,Weekend
98,130.34,202.344,7.140000000000001,17.43,23.72,5.515999999999998,7.140000000000001,52.07000000000001,29.05,5.05,14.0,212.0,Ahmedabad,Poor,weekday
99,53.24,118.594,8.05,15.86,23.34,6.195999999999998,8.05,36.23,21.58,5.23,15.0,280.0,Ahmedabad,Poor,weekday
100,42.0,142.934,10.44,18.16,21.8,16.744,10.44,17.0,25.5,0.0,0.0,162.0,Ahmedabad,Moderate,weekday
101,83.69,110.04,10.89,17.18,27.15,6.802,10.89,41.12,35.61,12.62,20.2,569.0,Ahmedabad,Severe,weekday
102,38.88,115.63,2.1799999999999997,16.28,17.74,7.120000000000001,2.18,26.4,12.469999999999999,3.0,6.96,128.0,Ahmedabad,Moderate,Weekend
103,46.89,193.358,2.959999999999999,16.17,18.49,6.056000000000001,2.96,41.96,10.739999999999998,3.41,8.87,129.0,Ahmedabad,Moderate,Weekend
104,70.96,167.966,4.120000000000001,15.470000000000002,19.28,13.93,4.12,23.67,16.01,3.72,8.13,152.0,Ahmedabad,Moderate,weekday
105,53.66,151.04000000000002,4.23,14.43,18.06,44.756,4.23,14.46,45.64,2.39,6.4,176.0,Ahmedabad,Moderate,weekday
106,45.49,130.108,4.26,13.73,17.1,5.876000000000001,4.26,12.85,71.85,2.5,5.96,167.0,Ahmedabad,Moderate,weekday
107,60.86,121.106,5.270000000000001,16.61,21.42,25.634,5.27,14.91,41.19,3.03,9.18,106.0,Ahmedabad,Moderate,weekday
108,51.93,135.498,13.71,17.87,31.64,21.522,13.71,15.33,12.880000000000006,6.32,19.17,231.0,Ahmedabad,Poor,weekday
109,77.87,295.642,6.67,17.12,23.0,7.34,6.67,46.82000000000001,16.67,4.79,9.78,327.0,Ahmedabad,Very Poor,Weekend
110,57.59,124.402,5.6,15.470000000000002,20.42,7.516000000000002,5.6,41.68,25.51,2.64,6.3,174.0,Ahmedabad,Moderate,Weekend
111,77.22,183.08999999999997,7.02,15.470000000000002,21.13,6.386000000000003,7.02,71.97,9.560000000000002,3.74,8.45,185.0,Ahmedabad,Moderate,weekday
112,45.29,132.35,7.25,12.739999999999998,19.66,22.94,7.25,18.64,6.32,2.73,6.99,179.0,Ahmedabad,Moderate,weekday
113,103.78,130.62,6.359999999999999,13.9,19.86,10.286,6.360000000000001,7.76,15.27,0.8199999999999998,1.3699999999999992,211.0,Ahmedabad,Poor,weekday
114,25.14,165.862,6.009999999999998,18.73,24.74,12.283999999999999,6.01,38.05,38.52,0.0,0.0,192.0,Ahmedabad,Moderate,weekday
115,87.03,256.614,8.05,17.88,25.53,6.359999999999999,8.05,23.84,48.22,0.0,0.0,310.0,Ahmedabad,Very Poor,weekday
116,89.6,204.44,6.59,19.84,25.9,6.681999999999999,6.59,48.05,44.78,0.0,0.0,223.0,Ahmedabad,Poor,Weekend
117,80.69,143.54000000000002,6.859999999999999,16.07,22.25,6.568000000000001,6.860000000000001,39.85,32.65,0.0,0.0,192.0,Ahmedabad,Moderate,Weekend
118,44.75,112.538,7.76,16.53,24.29,28.314,7.76,9.89,8.07,0.0,0.0,191.0,Ahmedabad,Moderate,weekday
119,38.11,114.744,7.41,11.620000000000001,19.03,37.028,7.41,3.129999999999999,6.690000000000001,2.5,5.93,184.0,Ahmedabad,Moderate,weekday
120,45.5,92.592,8.56,15.59,24.15,28.041999999999998,8.56,0.759999999999998,3.8200000000000003,5.09,8.52,220.0,Ahmedabad,Poor,weekday
121,36.98,89.574,8.21,11.52,19.74,28.046,8.21,0.5199999999999996,5.170000000000002,3.63,8.16,215.0,Ahmedabad,Poor,weekday
122,43.58,89.574,8.26,13.329999999999998,21.58,30.6,8.26,1.0199999999999996,7.559999999999999,3.59,6.789999999999999,226.0,Ahmedabad,Poor,weekday
123,45.49,91.322,9.63,14.910000000000002,24.53,29.674,9.63,0.8100000000000005,2.9400000000000013,3.67,6.62,251.0,Ahmedabad,Poor,Weekend
124,38.06,92.592,8.67,18.57,27.25,27.195999999999998,8.67,1.0500000000000007,4.6299999999999955,2.85,5.12,216.0,Ahmedabad,Poor,Weekend
125,45.41,91.322,9.35,20.55,29.9,35.542,9.35,0.7400000000000002,4.5000000000000036,2.83,7.18,237.0,Ahmedabad,Poor,weekday
126,37.71,101.648,8.54,16.259999999999998,24.8,27.195999999999998,8.54,0.8699999999999992,4.599999999999998,2.52,7.61,198.0,Ahmedabad,Moderate,weekday
127,32.37,89.574,7.530000000000001,14.36,21.89,36.272,7.530000000000001,2.17,12.170000000000005,1.88,7.92,195.0,Ahmedabad,Moderate,weekday
128,34.74,101.648,7.59,13.510000000000002,21.11,36.272,7.59,4.109999999999999,12.219999999999999,1.82,6.19,187.0,Ahmedabad,Moderate,weekday
129,32.56,101.648,7.34,13.91,21.25,36.798,7.34,4.039999999999999,11.850000000000001,2.55,9.3,181.0,Ahmedabad,Moderate,weekday
130,29.28,101.648,7.550000000000001,11.68,19.23,34.828,7.550000000000001,4.01,12.64,1.64,7.0,179.0,Ahmedabad,Moderate,Weekend
131,20.46,92.372,7.15,10.61,17.76,43.948,7.15,5.620000000000001,12.700000000000003,1.2600000000000002,5.17,188.0,Ahmedabad,Moderate,Weekend
132,26.07,89.574,7.99,11.07,19.06,35.486,7.99,4.1,10.57,1.5,6.9,190.0,Ahmedabad,Moderate,weekday
133,21.43,101.648,7.449999999999999,11.16,18.62,35.49,7.450000000000001,4.99,7.380000000000003,1.4,6.69,185.0,Ahmedabad,Moderate,weekday
134,11.909999999999997,97.364,7.34,10.099999999999998,17.44,35.642,7.34,10.86,5.469999999999999,1.3000000000000003,12.23,189.0,Ahmedabad,Moderate,weekday
135,57.75,134.082,8.68,9.68,18.36,26.31,8.68,12.28,3.0599999999999987,1.98,6.51,196.0,Ahmedabad,Moderate,weekday
136,66.39,135.126,8.58,12.79,21.36,26.31,8.58,11.09,4.960000000000001,1.76,6.18,201.0,Ahmedabad,Poor,weekday
137,62.61,97.852,9.15,9.830000000000002,18.98,34.716,9.15,12.31,6.440000000000005,1.87,5.47,231.0,Ahmedabad,Poor,Weekend
138,47.5,115.012,8.07,9.529999999999998,17.59,33.885999999999996,8.07,13.91,7.280000000000001,1.3400000000000003,3.9700000000000006,196.0,Ahmedabad,Moderate,Weekend
139,111.8,128.008,9.23,11.510000000000002,20.74,27.858,9.23,5.27,5.990000000000002,1.84,5.69,220.0,Ahmedabad,Poor,weekday
140,30.0,94.3,8.87,13.589999999999998,22.64,29.674,8.87,8.09,6.309999999999999,1.3199999999999998,4.59,244.0,Ahmedabad,Poor,weekday
141,4.659999999999997,89.574,9.01,10.900000000000002,20.36,14.561999999999998,9.01,7.31,6.379999999999999,1.27,3.9399999999999995,223.0,Ahmedabad,Poor,weekday
142,48.72,96.69,9.56,11.940000000000001,21.5,29.772,9.56,5.719999999999999,6.609999999999999,1.77,4.96,230.0,Ahmedabad,Poor,weekday
143,49.7,96.69,9.43,9.809999999999999,19.23,30.6,9.43,6.78,6.420000000000002,2.0,4.79,243.0,Ahmedabad,Poor,weekday
144,48.1,98.36,8.03,9.529999999999998,17.57,27.49,8.03,9.33,7.600000000000001,1.68,4.41,215.0,Ahmedabad,Poor,Weekend
145,47.43,98.36,8.11,9.45,17.56,26.313999999999997,8.11,7.93,7.079999999999995,2.1,3.5999999999999996,199.0,Ahmedabad,Moderate,Weekend
146,51.74,115.232,8.91,12.379999999999999,21.28,26.292,8.91,10.05,5.780000000000001,2.15,3.6399999999999997,200.0,Ahmedabad,Moderate,weekday
147,42.68,97.318,9.740000000000002,11.080000000000002,20.82,28.041999999999998,9.739999999999998,10.87,4.440000000000001,1.6200000000000003,4.96,226.0,Ahmedabad,Poor,weekday
148,38.45,97.318,10.55,7.800000000000001,18.35,8.952000000000002,10.55,10.28,3.240000000000002,2.46,4.79,241.0,Ahmedabad,Poor,weekday
149,46.69,111.442,11.48,0.17000000000000526,11.64,11.51,11.48,10.25,5.7599999999999945,1.77,4.34,222.0,Ahmedabad,Poor,weekday
150,55.27,122.76599999999999,11.55,0.120000000000001,11.66,10.601999999999997,11.55,12.7,6.549999999999997,1.69,4.17,223.0,Ahmedabad,Poor,weekday
